"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 16:05:43 EEST 2022","Wed Sep 07 16:06:22 EEST 2022","38727","","insert movments","","insert movments","TC_057","TC_057",""
"passed","Wed Sep 07 15:51:07 EEST 2022","Wed Sep 07 15:51:19 EEST 2022","12515","","insert movments","","insert movments","TC_014","TC_014",""
"passed","Wed Sep 07 16:00:00 EEST 2022","Wed Sep 07 16:00:22 EEST 2022","21751","","insert movments","","insert movments","TC_040","TC_040",""
"passed","Wed Sep 07 16:18:45 EEST 2022","Wed Sep 07 16:19:27 EEST 2022","41756","","permissions test","","permissions test","TC_005","TC_005",""
"passed","Wed Sep 07 15:54:02 EEST 2022","Wed Sep 07 15:54:23 EEST 2022","21114","","insert movments","","insert movments","TC_024","TC_024",""
"failed","Wed Sep 07 16:09:46 EEST 2022","Wed Sep 07 16:12:20 EEST 2022","154280","","insert movments","","insert movments","TC_062","TC_062",""
"passed","Wed Sep 07 15:59:44 EEST 2022","Wed Sep 07 16:00:00 EEST 2022","15382","","insert movments","","insert movments","TC_039","TC_039",""
"passed","Wed Sep 07 15:49:02 EEST 2022","Wed Sep 07 15:49:20 EEST 2022","17623","","permissions","","permissions","TC_003","TC_003",""
"passed","Wed Sep 07 16:01:21 EEST 2022","Wed Sep 07 16:01:36 EEST 2022","15595","","insert movments","","insert movments","TC_045","TC_045",""
"passed","Wed Sep 07 15:58:22 EEST 2022","Wed Sep 07 15:58:54 EEST 2022","31912","","insert movments","","insert movments","TC_036","TC_036",""
"passed","Wed Sep 07 15:51:20 EEST 2022","Wed Sep 07 15:51:35 EEST 2022","14546","","insert movments","","insert movments","TC_015","TC_015",""
"passed","Wed Sep 07 16:03:26 EEST 2022","Wed Sep 07 16:03:43 EEST 2022","16622","","insert movments","","insert movments","TC_051","TC_051",""
"passed","Wed Sep 07 16:20:16 EEST 2022","Wed Sep 07 16:20:42 EEST 2022","26325","","permissions test","","permissions test","TC_008","TC_008",""
"passed","Wed Sep 07 16:04:48 EEST 2022","Wed Sep 07 16:05:19 EEST 2022","31396","","insert movments","","insert movments","TC_055","TC_055",""
"passed","Wed Sep 07 15:48:13 EEST 2022","Wed Sep 07 15:48:42 EEST 2022","28974","","permissions","","permissions","TC_001","TC_001",""
"passed","Wed Sep 07 15:57:51 EEST 2022","Wed Sep 07 15:58:22 EEST 2022","31067","","insert movments","","insert movments","TC_035","TC_035",""
"failed","Wed Sep 07 16:07:21 EEST 2022","Wed Sep 07 16:09:21 EEST 2022","119912","","insert movments","","insert movments","TC_060","TC_060",""
"passed","Wed Sep 07 16:05:20 EEST 2022","Wed Sep 07 16:05:43 EEST 2022","22954","","insert movments","","insert movments","TC_056","TC_056",""
"passed","Wed Sep 07 15:56:58 EEST 2022","Wed Sep 07 15:57:28 EEST 2022","30292","","insert movments","","insert movments","TC_033","TC_033",""
"passed","Wed Sep 07 16:03:03 EEST 2022","Wed Sep 07 16:03:26 EEST 2022","22569","","insert movments","","insert movments","TC_050","TC_050",""
"passed","Wed Sep 07 15:56:42 EEST 2022","Wed Sep 07 15:56:57 EEST 2022","15379","","insert movments","","insert movments","TC_032","TC_032",""
"passed","Wed Sep 07 15:52:30 EEST 2022","Wed Sep 07 15:52:44 EEST 2022","14642","","insert movments","","insert movments","TC_020","TC_020",""
"passed","Wed Sep 07 16:22:59 EEST 2022","Wed Sep 07 16:23:04 EEST 2022","4780","","FDM","","FDM","TC_002","TC_002",""
"passed","Wed Sep 07 15:55:47 EEST 2022","Wed Sep 07 15:55:59 EEST 2022","11820","","insert movments","","insert movments","TC_029","TC_029",""
"passed","Wed Sep 07 15:51:49 EEST 2022","Wed Sep 07 15:52:03 EEST 2022","14094","","insert movments","","insert movments","TC_017","TC_017",""
"passed","Wed Sep 07 16:17:03 EEST 2022","Wed Sep 07 16:17:47 EEST 2022","43265","","turnaroundmovements","","turnaroundmovements","TC_065","TC_065",""
"passed","Wed Sep 07 15:48:42 EEST 2022","Wed Sep 07 15:49:02 EEST 2022","19972","","permissions","","permissions","TC_002","TC_002",""
"passed","Wed Sep 07 16:09:21 EEST 2022","Wed Sep 07 16:09:45 EEST 2022","24050","","insert movments","","insert movments","TC_061","TC_061",""
"passed","Wed Sep 07 15:52:04 EEST 2022","Wed Sep 07 15:52:13 EEST 2022","9043","","insert movments","","insert movments","TC_018","TC_018",""
"passed","Wed Sep 07 15:49:20 EEST 2022","Wed Sep 07 15:49:44 EEST 2022","24492","","permissions","","permissions","TC_004","TC_004",""
"passed","Wed Sep 07 16:21:54 EEST 2022","Wed Sep 07 16:22:15 EEST 2022","21132","","permissions test","","permissions test","TC012","TC012",""
"passed","Wed Sep 07 16:19:53 EEST 2022","Wed Sep 07 16:20:15 EEST 2022","22448","","permissions test","","permissions test","TC_007","TC_007",""
"passed","Wed Sep 07 15:56:25 EEST 2022","Wed Sep 07 15:56:41 EEST 2022","16301","","insert movments","","insert movments","TC_031","TC_031",""
"passed","Wed Sep 07 16:01:37 EEST 2022","Wed Sep 07 16:02:03 EEST 2022","26751","","insert movments","","insert movments","TC_046","TC_046",""
"passed","Wed Sep 07 16:03:44 EEST 2022","Wed Sep 07 16:04:08 EEST 2022","24199","","insert movments","","insert movments","TC_052","TC_052",""
"passed","Wed Sep 07 15:55:12 EEST 2022","Wed Sep 07 15:55:29 EEST 2022","16841","","insert movments","","insert movments","TC_027","TC_027",""
"passed","Wed Sep 07 15:54:24 EEST 2022","Wed Sep 07 15:54:54 EEST 2022","30850","","insert movments","","insert movments","TC_025","TC_025",""
"failed","Wed Sep 07 15:49:59 EEST 2022","Wed Sep 07 15:51:07 EEST 2022","67696","","insert movments","","insert movments","TC_013","TC_013",""
"passed","Wed Sep 07 15:57:29 EEST 2022","Wed Sep 07 15:57:50 EEST 2022","21849","","insert movments","","insert movments","TC_034","TC_034",""
"passed","Wed Sep 07 15:58:54 EEST 2022","Wed Sep 07 15:59:08 EEST 2022","13987","","insert movments","","insert movments","TC_037","TC_037",""
"passed","Wed Sep 07 15:53:11 EEST 2022","Wed Sep 07 15:53:30 EEST 2022","19294","","insert movments","","insert movments","TC_022","TC_022",""
"passed","Wed Sep 07 16:00:38 EEST 2022","Wed Sep 07 16:00:52 EEST 2022","13962","","insert movments","","insert movments","TC_042","TC_042",""
"passed","Wed Sep 07 16:01:09 EEST 2022","Wed Sep 07 16:01:20 EEST 2022","10991","","insert movments","","insert movments","TC_044","TC_044",""
"passed","Wed Sep 07 15:52:45 EEST 2022","Wed Sep 07 15:53:10 EEST 2022","25463","","insert movments","","insert movments","TC_021","TC_021",""
"passed","Wed Sep 07 16:21:05 EEST 2022","Wed Sep 07 16:21:30 EEST 2022","24963","","permissions test","","permissions test","TC010","TC010",""
"passed","Wed Sep 07 15:53:30 EEST 2022","Wed Sep 07 15:54:02 EEST 2022","31344","","insert movments","","insert movments","TC_023","TC_023",""
"passed","Wed Sep 07 16:02:34 EEST 2022","Wed Sep 07 16:03:03 EEST 2022","29256","","insert movments","","insert movments","TC_048","TC_048",""
"skipped","Wed Sep 07 16:03:03 EEST 2022","Wed Sep 07 16:03:03 EEST 2022","0","","insert movments","","insert movments","TC_049","TC_049",""
"passed","Wed Sep 07 16:16:11 EEST 2022","Wed Sep 07 16:17:03 EEST 2022","52751","","turnaroundmovements","","turnaroundmovements","TC_064","TC_064",""
"passed","Wed Sep 07 16:02:04 EEST 2022","Wed Sep 07 16:02:33 EEST 2022","29496","","insert movments","","insert movments","TC_047","TC_047",""
"passed","Wed Sep 07 16:19:27 EEST 2022","Wed Sep 07 16:19:52 EEST 2022","25644","","permissions test","","permissions test","TC_006","TC_006",""
"passed","Wed Sep 07 15:55:29 EEST 2022","Wed Sep 07 15:55:47 EEST 2022","17528","","insert movments","","insert movments","TC_028","TC_028",""
"passed","Wed Sep 07 15:56:00 EEST 2022","Wed Sep 07 15:56:25 EEST 2022","24803","","insert movments","","insert movments","TC_030","TC_030",""
"passed","Wed Sep 07 16:21:30 EEST 2022","Wed Sep 07 16:21:53 EEST 2022","22373","","permissions test","","permissions test","TC011","TC011",""
"passed","Wed Sep 07 15:51:35 EEST 2022","Wed Sep 07 15:51:47 EEST 2022","12509","","insert movments","","insert movments","TC_016","TC_016",""
"passed","Wed Sep 07 16:18:25 EEST 2022","Wed Sep 07 16:18:45 EEST 2022","20045","","permissions test","","permissions test","TC_004","TC_004",""
"passed","Wed Sep 07 16:12:20 EEST 2022","Wed Sep 07 16:13:15 EEST 2022","55170","","insert movments","","insert movments","TC_063","TC_063",""
"passed","Wed Sep 07 16:04:08 EEST 2022","Wed Sep 07 16:04:23 EEST 2022","14161","","insert movments","","insert movments","TC_053","TC_053",""
"passed","Wed Sep 07 16:00:23 EEST 2022","Wed Sep 07 16:00:37 EEST 2022","14620","","insert movments","","insert movments","TC_041","TC_041",""
"passed","Wed Sep 07 15:54:55 EEST 2022","Wed Sep 07 15:55:11 EEST 2022","16549","","insert movments","","insert movments","TC_026","TC_026",""
"passed","Wed Sep 07 16:04:23 EEST 2022","Wed Sep 07 16:04:48 EEST 2022","24496","","insert movments","","insert movments","TC_054","TC_054",""
"passed","Wed Sep 07 16:00:52 EEST 2022","Wed Sep 07 16:01:08 EEST 2022","16211","","insert movments","","insert movments","TC_043","TC_043",""
"broken","Wed Sep 07 16:06:22 EEST 2022","Wed Sep 07 16:07:20 EEST 2022","58002","","insert movments","","insert movments","TC_059","TC_059",""
"passed","Wed Sep 07 15:52:14 EEST 2022","Wed Sep 07 15:52:29 EEST 2022","15548","","insert movments","","insert movments","TC_019","TC_019",""
"passed","Wed Sep 07 16:18:00 EEST 2022","Wed Sep 07 16:18:25 EEST 2022","24662","","permissions test","","permissions test","TC_003","TC_003",""
"passed","Wed Sep 07 15:59:09 EEST 2022","Wed Sep 07 15:59:44 EEST 2022","34983","","insert movments","","insert movments","TC_038","TC_038",""
"passed","Wed Sep 07 16:20:43 EEST 2022","Wed Sep 07 16:21:05 EEST 2022","21822","","permissions test","","permissions test","TC_009","TC_009",""
"skipped","Wed Sep 07 16:06:22 EEST 2022","Wed Sep 07 16:06:22 EEST 2022","0","","insert movments","","insert movments","TC_058","TC_058",""
"passed","Wed Sep 07 16:22:50 EEST 2022","Wed Sep 07 16:22:59 EEST 2022","9427","","FDM","","FDM","TC_001","TC_001",""
